Service Line Locality,Street Address,Zip Code,State,"Lead Gooseneck, Pigtail or Connector Currently Present",Current Public Side SL Material,Was Public SL Material Ever Previously Lead,Public SL Material Verification Method,Public SL Installation or Replacement Date,Public SL Size,Customer SL Material,Customer SL Material Verification Method,Lead Solder Present,Building Type,POU or POE Treatment Present,Customer SL Installation or Replacement Date,Customer SL Size,SL Category,Note,Location
Poughkeepsie,60  DAVIS AVENUE,12603,NY,No,Unknown but could be lead,No,Not Verified,,,Unknown,Not Verified,,,,,,,,POINT (-73.89544 41.69289)
Poughkeepsie,8  MAGNOLIA LANE,12601,NY,No,Lead including lead-lined galvanized,Yes,Records,,,Lead including lead-lined galvanized,Not Verified,,,,,,,,POINT (-73.92914 41.65041)
Poughkeepsie,61  TAMARACK HILL DR.,12603,NY,No,Copper,No,Records,,,Unknown,Not Verified,,,,,,,,POINT (-73.85582 41.72531)
Poughkeepsie,67  WOODLAWN AVENUE,12601,NY,No,Lead including lead-lined galvanized,Yes,Records,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.9199 41.72499)
Poughkeepsie,3  LAGRANGE AVENUE- BANK,12603,NY,No,Unknown but could be lead,No,Not Verified,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.90015 41.6935)
Poughkeepsie,49  SHARON DRIVE,12603,NY,No,Copper,Yes,Excavation,TRUE,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.92338 41.67989)
Poughkeepsie,49  OAKDALE AVENUE,12601,NY,No,Unknown but could be lead,No,Not Verified,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.91597 41.71704)
Poughkeepsie,101  FULTON AVENUE,12603,NY,No,Unknown but could be lead,No,Not Verified,,,Unknown,Not Verified,,,,,,,,POINT (-73.90528 41.69245)
Poughkeepsie,514  HAIGHT AVENUE,12603,NY,No,Unknown but could be lead,Yes,Records,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.89963 41.6948)
Poughkeepsie,2  LINDBERGH PLACE,12603,NY,No,Lead including lead-lined galvanized,Yes,Records,,,Lead including lead-lined galvanized,Not Verified,,,,,,,,POINT (-73.90369 41.70514)
Poughkeepsie,22  TAMARACK HILL DR.,12603,NY,No,Copper,No,Records,,,Unknown,Not Verified,,,,,,,,POINT (-73.85607 41.72022)
Poughkeepsie,28  LEWIS AVENUE,12603,NY,No,Unknown but could be lead,Yes,Records,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.9037 41.69467)
Poughkeepsie,24  VIOLET AVENUE (RENTALS),12601,NY,No,Lead including lead-lined galvanized,Yes,Records,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.91272 41.71711)
Poughkeepsie,5  WEST DOGWOOD DRIVE,12601,NY,No,Lead including lead-lined galvanized,Yes,Records,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.93137 41.65026)
Poughkeepsie,2092  -2096 NEW HACKENSACK ROAD,12603,NY,No,Unknown but unlikely lead,No,Not Verified,,,Unknown,Not Verified,,,,,,,,POINT (-73.87451 41.65797)
Poughkeepsie,11  CATHY ROAD,12603,NY,No,Lead including lead-lined galvanized,No,Not Verified,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.92408 41.67881)
Poughkeepsie,14  WHIPPLE WAY,12603,NY,No,Copper,No,Records,,,Unknown,Not Verified,,,,,,,,POINT (-73.85686 41.71678)
Poughkeepsie,88  FAIRVIEW AVENUE,12601,NY,No,Unknown but could be lead,No,Not Verified,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.92183 41.71994)
Poughkeepsie,309  VIOLET AVENUE,12601,NY,No,Lead including lead-lined galvanized,Yes,Records,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.90986 41.73319)
Poughkeepsie,7  TREADWELL CIRCLE,12601,NY,No,Unknown but could be lead,No,Not Verified,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.92018 41.71959)
Poughkeepsie,116  FAIRVIEW AVENUE,12601,NY,No,Unknown but could be lead,No,Not Verified,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.92263 41.72212)
Poughkeepsie,22  LAGRANGE AVENUE,12603,NY,No,Unknown but could be lead,No,Not Verified,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.89881 41.69263)
Poughkeepsie,250  WILBUR BLVD,12603,NY,No,Lead including lead-lined galvanized,Yes,Records,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.92043 41.66034)
Poughkeepsie,208  VIOLET AVENUE #14533986,12601,NY,No,Lead including lead-lined galvanized,Yes,Records,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.91077 41.72823)
Poughkeepsie,9  SKYVIEW DRIVE,12603,NY,No,Copper,No,Records,,,Unknown,Not Verified,,,,,,,,POINT (-73.85688 41.71374)
Poughkeepsie,35  VALLEY VIEW ROAD,12603,NY,No,Unknown but could be lead,No,Not Verified,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.91803 41.66557)
Poughkeepsie,261  VIOLET AVENUE,12601,NY,No,Lead including lead-lined galvanized,Yes,Records,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.91057 41.72958)
Poughkeepsie,19  EAST CEDAR STREET,12601,NY,No,Unknown but could be lead,No,Not Verified,,,Unknown,Not Verified,,,,,,,,POINT (-73.92021 41.7212)
Poughkeepsie,28  EASTERN PARKWAY,12603,NY,No,Copper,No,Records,,,Unknown,Not Verified,,,,,,,,POINT (-73.8581 41.71156)
Poughkeepsie,33  LINDBERGH PLACE,12603,NY,No,Lead including lead-lined galvanized,Yes,Records,,,Lead including lead-lined galvanized,Not Verified,,,,,,,,POINT (-73.90114 41.70463)
Poughkeepsie,18  CHERRY LANE,12601,NY,No,Copper,No,Excavation,,,Unknown,Not Verified,,,,,,,,POINT (-73.92245 41.73709)
Poughkeepsie,27  VALLEY VIEW ROAD,12603,NY,No,Unknown but could be lead,No,Not Verified,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.91733 41.66604)
Poughkeepsie,76  SUNSET AVENUE,12601,NY,No,Unknown but could be lead,Yes,Not Verified,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.92563 41.7259)
Poughkeepsie,13  ZIEGLER AVENUE,12603,NY,No,Lead including lead-lined galvanized,Yes,Records,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.90612 41.68599)
Poughkeepsie,172  WILBUR BLVD,12603,NY,No,Lead including lead-lined galvanized,Yes,Records,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.91389 41.66951)
Poughkeepsie,54  TAMARACK HILL DR.,12603,NY,No,Copper,No,Records,,,Unknown,Not Verified,,,,,,,,POINT (-73.85485 41.72415)
Poughkeepsie,53  RAYMOND AVE,12603,NY,No,Lead including lead-lined galvanized,Yes,Records,,,Lead including lead-lined galvanized,Not Verified,,,,,,,,POINT (-73.90058 41.69203)
Poughkeepsie,26  MARINO ROAD,12601,NY,No,Unknown but could be lead,No,Not Verified,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.93045 41.64464)
Poughkeepsie,14  VALLEY VIEW ROAD,12603,NY,No,Unknown but could be lead,No,Not Verified,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.91585 41.66767)
Poughkeepsie,9  11 RAYMOND AVE,12603,NY,No,Unknown but unlikely lead,No,Not Verified,,,Unknown,Not Verified,,,,,,,,POINT (-73.90191 41.69516)
Poughkeepsie,7  CASE COURT,12603,NY,No,Lead including lead-lined galvanized,Yes,Records,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.90676 41.68596)
Poughkeepsie,78  BUCKINGHAM AVENUE,12601,NY,No,Unknown but could be lead,No,Not Verified,,,Unknown,Not Verified,,,,,,,,POINT (-73.91809 41.72097)
Poughkeepsie,323  VIOLET AVENUE,12601,NY,No,Lead including lead-lined galvanized,Yes,Records,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.90944 41.73436)
Poughkeepsie,6  STREIT AVENUE,12603,NY,No,Lead including lead-lined galvanized,Yes,Records,,,Lead including lead-lined galvanized,Not Verified,,,,,,,,POINT (-73.9045 41.69625)
Poughkeepsie,188  WILBUR BLVD,12603,NY,No,Lead including lead-lined galvanized,Yes,Records,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.91468 41.66718)
Poughkeepsie,24  HINKLEY PLACE,12601,NY,No,Copper,Yes,Records,TRUE,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.91707 41.71793)
Poughkeepsie,62  OAKDALE AVENUE,12601,NY,No,Unknown but could be lead,No,Not Verified,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.916 41.71812)
Poughkeepsie,22  BRIARWOOD DRIVE,12601,NY,No,Lead including lead-lined galvanized,Yes,Records,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.93148 41.64569)
Poughkeepsie,53  WEST CEDAR STREET,12601,NY,No,Unknown but could be lead,No,Not Verified,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.92729 41.72032)
Poughkeepsie,15  COLLEGEVIEW (CAFE),12603,NY,No,Unknown but unlikely lead,No,Not Verified,,,Unknown,Not Verified,,,,,,,,POINT (-73.89901 41.6916)
Poughkeepsie,33  SHARON DRIVE,12603,NY,No,Copper,Yes,Excavation,TRUE,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.92566 41.67968)
Poughkeepsie,22  VALLEY VIEW ROAD,12603,NY,No,Unknown but could be lead,No,Not Verified,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.91638 41.66675)
Poughkeepsie,8  WEST DOGWOOD DRIVE,12601,NY,No,Lead including lead-lined galvanized,Yes,Records,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.93157 41.65001)
Poughkeepsie,13  WOODCLIFF AVENUE,12603,NY,No,Unknown but could be lead,No,Not Verified,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.89737 41.69655)
Poughkeepsie,8  EAST DOGWOOD DRIVE,12601,NY,No,Lead including lead-lined galvanized,Yes,Records,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.93051 41.64978)
Poughkeepsie,107  VIOLET AVENUE,12601,NY,No,Lead including lead-lined galvanized,Yes,Records,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.91062 41.72257)
Poughkeepsie,25  EAST CEDAR STREET,12601,NY,No,Unknown but could be lead,No,Not Verified,,,Unknown,Not Verified,,,,,,,,POINT (-73.91977 41.72137)
Poughkeepsie,46  SKYVIEW DRIVE,12603,NY,No,Copper,No,Records,,,Unknown,Not Verified,,,,,,,,POINT (-73.85617 41.71207)
Poughkeepsie,20  EASTERN PARKWAY,12603,NY,No,Copper,No,Records,,,Unknown,Not Verified,,,,,,,,POINT (-73.85846 41.71183)
Poughkeepsie,44  EILEEN BOULEVARD,12603,NY,No,Copper,No,Records,,,Unknown,Not Verified,,,,,,,,POINT (-73.8603 41.71136)
Poughkeepsie,45  CATHY ROAD,12603,NY,No,Unknown but unlikely lead,No,Not Verified,,,Unknown,Not Verified,,,,,,,,POINT (-73.9237 41.67413)
Poughkeepsie,5  MOREHOUSE ROAD,12603,NY,No,Unknown but could be lead,No,Not Verified,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.92261 41.67936)
Poughkeepsie,55  WOODLAWN AVENUE,12601,NY,No,Lead including lead-lined galvanized,Yes,Records,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.9199 41.72417)
Poughkeepsie,208  WILBUR BLVD,12603,NY,No,Lead including lead-lined galvanized,Yes,Records,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.91622 41.66516)
Poughkeepsie,75  DAVIS AVENUE,12603,NY,No,Unknown but could be lead,No,Not Verified,,,Unknown,Not Verified,,,,,,,,POINT (-73.89388 41.69254)
Poughkeepsie,43  VALLEY VIEW ROAD,12603,NY,No,Unknown but could be lead,No,Not Verified,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.9184 41.66495)
Poughkeepsie,10  WEST CEDAR STREET,12601,NY,No,Unknown but could be lead,No,Not Verified,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.92296 41.72055)
Poughkeepsie,784  MAIN STREET (AR EXCHANGE),12603,NY,No,Lead including lead-lined galvanized,Yes,Records,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.90166 41.69619)
Poughkeepsie,71  FAIRVIEW AVENUE,12601,NY,No,Unknown but could be lead,No,Not Verified,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.92138 41.71878)
Poughkeepsie,9  SANTA ANNA DRIVE,12603,NY,No,Unknown but could be lead,No,Not Verified,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.9225 41.67527)
Poughkeepsie,19  LAGRANGE AVENUE,12603,NY,No,Unknown but could be lead,No,Not Verified,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.89916 41.6927)
Poughkeepsie,116  EAST CEDAR STREET,12601,NY,No,Unknown but could be lead,No,Not Verified,,,Unknown,Not Verified,,,,,,,,POINT (-73.91139 41.72234)
Poughkeepsie,523  HAIGHT AVENUE,12603,NY,No,Unknown but could be lead,Yes,Records,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.89864 41.69483)
Poughkeepsie,24  LINDBERGH PLACE,12603,NY,No,Lead including lead-lined galvanized,Yes,Records,,,Lead including lead-lined galvanized,Not Verified,,,,,,,,POINT (-73.90201 41.70482)
Poughkeepsie,34  RAYMOND AVENUE,12603,NY,No,Lead including lead-lined galvanized,Yes,Records,,,Lead including lead-lined galvanized,Not Verified,,,,,,,,POINT (-73.90103 41.69349)
Poughkeepsie,150  VIOLET AVENUE,12601,NY,No,Lead including lead-lined galvanized,Yes,Records,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.91087 41.7255)
Poughkeepsie,41  SCHOOLHOUSE LANE,12603,NY,No,Unknown but could be lead,Yes,Records,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.92563 41.65985)
Poughkeepsie,35  TAMARACK HILL DR.,12603,NY,No,Copper,No,Records,,,Unknown,Not Verified,,,,,,,,POINT (-73.85578 41.72203)
Poughkeepsie,47  ZIEGLER AVENUE,12603,NY,No,Lead including lead-lined galvanized,Yes,Records,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.90529 41.68863)
Poughkeepsie,822  MAIN STREET,12603,NY,No,Lead including lead-lined galvanized,Yes,Records,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.89834 41.69584)
Poughkeepsie,27  WEST DOGWOOD DRIVE,12601,NY,No,Lead including lead-lined galvanized,Yes,Records,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.93262 41.64815)
