Service Line Locality,Street Address,Zip Code,State,"Lead Gooseneck, Pigtail or Connector Currently Present",Current Public Side SL Material,Was Public SL Material Ever Previously Lead,Public SL Material Verification Method,Public SL Installation or Replacement Date,Public SL Size,Customer SL Material,Customer SL Material Verification Method,Lead Solder Present,Building Type,POU or POE Treatment Present,Customer SL Installation or Replacement Date,Customer SL Size,SL Category,Note,Location
Poughkeepsie,143  COLLEGE AVENUE,12603,NY,No,Copper,Yes,Excavation,TRUE,,Lead including lead-lined galvanized,Excavation,,,,,,,,POINT (-73.90409 41.69053)
Poughkeepsie,146  COLLEGE AVENUE,12603,NY,No,Copper,Yes,Excavation,TRUE,,Copper,Excavation,,,,,,,,POINT (-73.90364 41.69044)
Poughkeepsie,13  SCHOOLHOUSE LANE,12603,NY,No,Lead including lead-lined galvanized,Yes,Records,,,Lead including lead-lined galvanized,Customer Identification with Photo or Other Verification,,,,,,,,POINT (-73.92836 41.65978)
Poughkeepsie,7  SILVER LANE,12603,NY,No,Copper,No,Records,,,Copper,Customer Identification with Photo or Other Verification,,,,,,,,POINT (-73.89175 41.63652)
Poughkeepsie,24  LEWIS AVENUE,12603,NY,No,Lead including lead-lined galvanized,Yes,Records,,,Lead including lead-lined galvanized,Customer Identification with Photo or Other Verification,,,,,,,,POINT (-73.90359 41.69491)
Poughkeepsie,33  FLOWER HILL ROAD,12603,NY,No,Lead including lead-lined galvanized,No,Not Verified,,,Lead including lead-lined galvanized,Customer Identification with Photo or Other Verification,,,,,,,,POINT (-73.92285 41.65512)
Poughkeepsie,6  FLOWER HILL ROAD,12603,NY,No,Unknown but unlikely lead,No,Not Verified,,,Lead including lead-lined galvanized,Customer Identification with Photo or Other Verification,,,,,,,,POINT (-73.92366 41.6581)
Poughkeepsie,17  FLOWER HILL ROAD,12603,NY,No,Lead including lead-lined galvanized,No,Not Verified,,,Lead including lead-lined galvanized,Customer Identification with Photo or Other Verification,,,,,,,,POINT (-73.92384 41.65639)
Poughkeepsie,14  SCHOOLHOUSE LANE,12603,NY,No,Lead including lead-lined galvanized,Yes,Records,,,Lead including lead-lined galvanized,Customer Identification with Photo or Other Verification,,,,,,,,POINT (-73.92804 41.66025)
Poughkeepsie,111  EAST CEDAR STREET,12601,NY,No,Lead including lead-lined galvanized,No,Not Verified,,,Lead including lead-lined galvanized,Customer Identification with Photo or Other Verification,,,,,,,,POINT (-73.91172 41.72231)
Poughkeepsie,31  STREIT AVENUE,12603,NY,No,Lead including lead-lined galvanized,Yes,Records,,,Lead including lead-lined galvanized,Customer Identification with Photo or Other Verification,,,,,,,,POINT (-73.90502 41.69492)
Poughkeepsie,15  LEWIS AVENUE,12603,NY,No,Lead including lead-lined galvanized,Yes,Records,,,Lead including lead-lined galvanized,Customer Identification with Photo or Other Verification,,,,,,,,POINT (-73.90345 41.69535)
Poughkeepsie,7  HINKLEY PLACE,12601,NY,No,Copper,Yes,Records,TRUE,,Lead including lead-lined galvanized,Customer Identification with Photo or Other Verification,,,,,,,,POINT (-73.91872 41.71774)
Poughkeepsie,70  HENMOND BOULEVARD,12603,NY,No,Copper,No,Records,,,Copper,Customer Identification with Photo or Other Verification,,,,,,,,POINT (-73.87476 41.68602)
Poughkeepsie,19  ZIEGLER AVENUE,12603,NY,No,Lead including lead-lined galvanized,Yes,Records,,,Lead including lead-lined galvanized,Customer Identification with Photo or Other Verification,,,,,,,,POINT (-73.90599 41.68641)
Poughkeepsie,4  FLOWER LANE,12603,NY,No,Lead including lead-lined galvanized,No,Not Verified,,,Lead including lead-lined galvanized,Customer Identification with Photo or Other Verification,,,,,,,,POINT (-73.92226 41.65749)
Poughkeepsie,28  STREIT AVENUE,12603,NY,No,Lead including lead-lined galvanized,Yes,Records,,,Lead including lead-lined galvanized,Customer Identification with Photo or Other Verification,,,,,,,,POINT (-73.90495 41.6951)
Poughkeepsie,10  SCHOOLHOUSE LANE,12603,NY,No,Lead including lead-lined galvanized,Yes,Records,,,Lead including lead-lined galvanized,Customer Identification with Photo or Other Verification,,,,,,,,POINT (-73.92845 41.65966)
Poughkeepsie,6  HINKLEY PLACE,12601,NY,No,Copper,Yes,Records,TRUE,,Lead including lead-lined galvanized,Customer Identification with Photo or Other Verification,,,,,,,,POINT (-73.91881 41.71773)
Poughkeepsie,45  FLOWER HILL ROAD,12603,NY,No,Lead including lead-lined galvanized,No,Not Verified,,,Lead including lead-lined galvanized,Customer Identification with Photo or Other Verification,,,,,,,,POINT (-73.92215 41.65629)
Poughkeepsie,811  MAIN STREET (REDL'S APTS),12603,NY,No,Lead including lead-lined galvanized,Yes,Records,,,Lead including lead-lined galvanized,Customer Identification with Photo or Other Verification,,,,,,,,POINT (-73.8993 41.69612)
Poughkeepsie,19  LEWIS AVENUE,12603,NY,No,Lead including lead-lined galvanized,Yes,Records,,,Lead including lead-lined galvanized,Customer Identification with Photo or Other Verification,,,,,,,,POINT (-73.90351 41.69514)
Poughkeepsie,9  FLOWER HILL ROAD,12603,NY,No,Lead including lead-lined galvanized,No,Not Verified,,,Lead including lead-lined galvanized,Customer Identification with Photo or Other Verification,,,,,,,,POINT (-73.92376 41.65729)
Poughkeepsie,41  STREIT AVENUE,12603,NY,No,Lead including lead-lined galvanized,Yes,Records,,,Lead including lead-lined galvanized,Customer Identification with Photo or Other Verification,,,,,,,,POINT (-73.90521 41.69433)
Poughkeepsie,33  ZIEGLER AVENUE,12603,NY,No,Lead including lead-lined galvanized,Yes,Records,,,Lead including lead-lined galvanized,Customer Identification with Photo or Other Verification,,,,,,,,POINT (-73.90565 41.68749)
Poughkeepsie,29  STREIT AVENUE,12603,NY,No,Lead including lead-lined galvanized,Yes,Records,,,Lead including lead-lined galvanized,Customer Identification with Photo or Other Verification,,,,,,,,POINT (-73.90497 41.69505)
Poughkeepsie,21  FLOWER HILL ROAD,12603,NY,No,Lead including lead-lined galvanized,No,Not Verified,,,Lead including lead-lined galvanized,Customer Identification with Photo or Other Verification,,,,,,,,POINT (-73.92388 41.65584)
Poughkeepsie,45  STREIT AVENUE,12603,NY,No,Lead including lead-lined galvanized,Yes,Records,,,Lead including lead-lined galvanized,Customer Identification with Photo or Other Verification,,,,,,,,POINT (-73.90526 41.69421)
Poughkeepsie,37  ZIEGLER AVENUE,12603,NY,No,Lead including lead-lined galvanized,Yes,Records,,,Lead including lead-lined galvanized,Customer Identification with Photo or Other Verification,,,,,,,,POINT (-73.90555 41.68782)
Poughkeepsie,17  LEWIS AVENUE,12603,NY,No,Lead including lead-lined galvanized,Yes,Records,,,Lead including lead-lined galvanized,Customer Identification with Photo or Other Verification,,,,,,,,POINT (-73.90348 41.69525)
Poughkeepsie,19  CASE COURT,12603,NY,No,Lead including lead-lined galvanized,Yes,Records,,,Lead including lead-lined galvanized,Customer Identification with Photo or Other Verification,,,,,,,,POINT (-73.90654 41.68666)
Poughkeepsie,22  ANTOINETTE DRIVE,12601,NY,No,Lead including lead-lined galvanized,Yes,Records,,,Lead including lead-lined galvanized,Customer Identification with Photo or Other Verification,,,,,,,,POINT (-73.92992 41.64821)
Poughkeepsie,49  FLOWER HILL ROAD,12603,NY,No,Lead including lead-lined galvanized,No,Not Verified,,,Lead including lead-lined galvanized,Customer Identification with Photo or Other Verification,,,,,,,,POINT (-73.92233 41.65671)
Poughkeepsie,23  ANTOINETTE DRIVE,12601,NY,No,Lead including lead-lined galvanized,Yes,Records,,,Lead including lead-lined galvanized,Customer Identification with Photo or Other Verification,,,,,,,,POINT (-73.93018 41.64822)
Poughkeepsie,22  LEWIS AVENUE,12603,NY,No,Lead including lead-lined galvanized,Yes,Records,,,Lead including lead-lined galvanized,Customer Identification with Photo or Other Verification,,,,,,,,POINT (-73.90354 41.69502)
Poughkeepsie,8  SCHOOLHOUSE LANE,12603,NY,No,Lead including lead-lined galvanized,Yes,Records,,,Lead including lead-lined galvanized,Customer Identification with Photo or Other Verification,,,,,,,,POINT (-73.9286 41.65934)
Poughkeepsie,51  SKYVIEW DRIVE,12603,NY,No,Copper,No,Records,,,Copper,Customer Identification with Photo or Other Verification,,,,,,,,POINT (-73.85601 41.71262)
Poughkeepsie,14  ZIEGLER AVENUE,12603,NY,No,Lead including lead-lined galvanized,Yes,Records,,,Lead including lead-lined galvanized,Customer Identification with Photo or Other Verification,,,,,,,,POINT (-73.90616 41.68587)
Poughkeepsie,30  STREIT AVENUE,12603,NY,No,Lead including lead-lined galvanized,Yes,Records,,,Lead including lead-lined galvanized,Customer Identification with Photo or Other Verification,,,,,,,,POINT (-73.90499 41.695)
Poughkeepsie,14  EAST DOGWOOD DRIVE,12601,NY,No,Lead including lead-lined galvanized,Yes,Records,,,Lead including lead-lined galvanized,Customer Identification with Photo or Other Verification,,,,,,,,POINT (-73.93076 41.64895)
Poughkeepsie,15  FLOWER HILL ROAD,12603,NY,No,Lead including lead-lined galvanized,No,Not Verified,,,Lead including lead-lined galvanized,Customer Identification with Photo or Other Verification,,,,,,,,POINT (-73.92381 41.65682)
Poughkeepsie,27  SCHOOLHOUSE LANE,12603,NY,No,Lead including lead-lined galvanized,Yes,Records,,,Lead including lead-lined galvanized,Customer Identification with Photo or Other Verification,,,,,,,,POINT (-73.92744 41.66027)
Poughkeepsie,44  STREIT AVENUE,12603,NY,No,Lead including lead-lined galvanized,Yes,Records,,,Lead including lead-lined galvanized,Customer Identification with Photo or Other Verification,,,,,,,,POINT (-73.90529 41.69415)
Poughkeepsie,143  VIOLET AVENUE,12601,NY,No,Unknown but unlikely lead,Yes,Records,,,Copper,Customer Identification with Photo or Other Verification,,,,,,,,POINT (-73.91086 41.72517)
Poughkeepsie,38  ZIEGLER AVENUE,12603,NY,No,Lead including lead-lined galvanized,Yes,Records,,,Lead including lead-lined galvanized,Customer Identification with Photo or Other Verification,,,,,,,,POINT (-73.90559 41.68768)
Poughkeepsie,18  STREIT AVENUE,12603,NY,No,Lead including lead-lined galvanized,Yes,Records,,,Lead including lead-lined galvanized,Customer Identification with Photo or Other Verification,,,,,,,,POINT (-73.90475 41.69561)
Poughkeepsie,23  SCHOOLHOUSE LANE,12603,NY,No,Copper,Yes,Field Inspection,,,Lead including lead-lined galvanized,Customer Identification with Photo or Other Verification,,,,,,,,POINT (-73.92764 41.66046)
Poughkeepsie,23 Eastdale Avenue South (Bldg L4),12603,NY,No,Plastic,No,Field Inspection,2023,"1.5"" < SL ≤ 2""",Plastic,Field Inspection,No,Other including Multiuse,No,2023,"1.5"" < SL ≤ 2""",Non-Lead,,POINT (-73.86532 41.70921)
Poughkeepsie,39 Parkside Drive (MB2),12603,NY,No,Known Other,No,Field Inspection,2021,"larger than 2""",Plastic,Field Inspection,No,Other including Multiuse,No,2021,"1.5"" < SL ≤ 2""",Non-Lead,Ductile Iron Pipe,POINT (-73.86354 41.70936)
Poughkeepsie,25 Eastdale Avenue North (Bldg A1),12603,NY,No,Known Other,No,Field Inspection,2021,"larger than 2""",Plastic,Field Inspection,No,Other including Multiuse,No,2021,"1.5"" < SL ≤ 2""",Non-Lead,Ductile Iron Pipe,POINT (-73.86612 41.70964)
Poughkeepsie,Building J,12603,NY,,Plastic,No,Other,,"1"" < SL ≤ 1.5""",Plastic,Field Inspection,,Multi Family,,,"1"" < SL ≤ 1.5""",Non-Lead,Scratch & magnet test performed on service line entering building.  See attached verification worksheet tab.,
Poughkeepsie,36 Eastdale Avenue North (Bldg E3),12603,NY,No,Plastic,No,Field Inspection,2022,"1.5"" < SL ≤ 2""",Plastic,Field Inspection,No,Other including Multiuse,No,2022,"1.5"" < SL ≤ 2""",Non-Lead,,POINT (-73.8664 41.7098)
Poughkeepsie,24-26 Eastdale Avenue South (Bldg I-2/I-3),12603,NY,No,Plastic,No,Field Inspection,2024,"1.5"" < SL ≤ 2""",Plastic,Field Inspection,No,Other including Multiuse,No,2024,"1.5"" < SL ≤ 2""",Non-Lead,,POINT (-73.86543 41.70927)
Poughkeepsie,28 Parkside Drive (Bldg 16),12603,NY,No,Known Other,No,Field Inspection,2021,"larger than 2""",Known Other,Field Inspection,No,Multi Family,No,2021,"larger than 2""",Non-Lead,Ductile Iron Pipe,POINT (-73.86337 41.70843)
Poughkeepsie,4-10 Hillside Drive (Bldg 6),12603,NY,No,Known Other,No,Field Inspection,2020,"larger than 2""",Known Other,Field Inspection,No,Multi Family,No,2020,"larger than 2""",Non-Lead,Ductile Iron Pipe,POINT (-73.86512 41.71182)
Poughkeepsie,Building E,12603,NY,,Known Other,No,Other,,"1"" < SL ≤ 1.5""",Known Other,Field Inspection,,Multi Family,,,"1"" < SL ≤ 1.5""",Non-Lead,Black iron pipe confimred entering building E.  Scratch & magnet test performed on service line entering building.  See attached verification worksheet tab.,
Poughkeepsie,4 Eastdale Avenue South (Bldg J),12603,NY,No,Known Other,No,Field Inspection,2024,"larger than 2""",Plastic,Field Inspection,No,Other including Multiuse,No,2024,"1.5"" < SL ≤ 2""",Non-Lead,Ductile Iron Pipe,POINT (-73.86481 41.70894)
Poughkeepsie,10 Town Center Drive (Bldg 11),12603,NY,No,Known Other,No,Field Inspection,2019,"larger than 2""",Known Other,Field Inspection,No,Multi Family,No,2019,"larger than 2""",Non-Lead,Ductile Iron Pipe,
Poughkeepsie,42 Eastdale Avenue North (Bldg D1),12603,NY,No,Plastic,No,Field Inspection,2020,"1.5"" < SL ≤ 2""",Plastic,Field Inspection,No,Business,No,2020,"1.5"" < SL ≤ 2""",Non-Lead,,POINT (-73.86679 41.71002)
Poughkeepsie,Building K,12603,NY,,Plastic,No,Other,,"1.5"" < SL ≤ 2""",Plastic,Field Inspection,,Multi Family,,,"1.5"" < SL ≤ 2""",Non-Lead,Scratch & magnet test performed on service line entering building.  See attached verification worksheet tab.,
Poughkeepsie,10 Otto Way (MB1),12603,NY,No,Known Other,No,Field Inspection,2020,"larger than 2""",Plastic,Field Inspection,No,Other including Multiuse,No,2020,"1.5"" < SL ≤ 2""",Non-Lead,Ductile Iron Pipe,POINT (-73.86692 41.71112)
Poughkeepsie,28 Eastdale Avenue South (Bldg I-6),12603,NY,No,Plastic,No,Field Inspection,2024,"1.5"" < SL ≤ 2""",Plastic,Field Inspection,No,Other including Multiuse,No,2024,"1.5"" < SL ≤ 2""",Non-Lead,,POINT (-73.8657 41.70941)
Poughkeepsie,50 Town Center Drive (Bldg 7),12603,NY,No,Known Other,No,Field Inspection,2019,"larger than 2""",Known Other,Field Inspection,No,Multi Family,No,2019,"larger than 2""",Non-Lead,Ductile Iron Pipe,
Poughkeepsie,Building O,12603,NY,,Copper,No,Other,,"1.5"" < SL ≤ 2""",Copper,Field Inspection,,Multi Family,,,"1.5"" < SL ≤ 2""",Non-Lead,Scratch & magnet test performed on service line entering building.  See attached verification worksheet tab.,
Poughkeepsie,38 Eastdale Avenue North (Bldg E4),12603,NY,No,Known Other,No,Field Inspection,2022,"larger than 2""",Plastic,Field Inspection,No,Other including Multiuse,No,2022,"1.5"" < SL ≤ 2""",Non-Lead,,POINT (-73.8666 41.70992)
Poughkeepsie,Building N,12603,NY,,Copper,No,Other,,"1"" < SL ≤ 1.5""",Copper,Field Inspection,,Multi Family,,,"1"" < SL ≤ 1.5""",Non-Lead,Scratch & magnet test performed on service line entering building.  See attached verification worksheet tab.,
Poughkeepsie,325 Founders Way (Bldg F),12603,NY,No,Known Other,No,Field Inspection,2022,"larger than 2""",Known Other,Field Inspection,No,Business,No,2022,"larger than 2""",Non-Lead,Ductile Iron Pipe,POINT (-73.86598 41.71072)
Poughkeepsie,12-18 Hillside Drive (Bldg 5),12603,NY,No,Known Other,No,Field Inspection,2020,"larger than 2""",Known Other,Field Inspection,No,Multi Family,No,2020,"larger than 2""",Non-Lead,Ductile Iron Pipe,POINT (-73.8655 41.71221)
Poughkeepsie,35 Otto Way (Bldg 2),12603,NY,No,Known Other,No,Field Inspection,2020,"larger than 2""",Known Other,Field Inspection,No,Multi Family,No,2020,"larger than 2""",Non-Lead,Ductile Iron Pipe,POINT (-73.86639 41.71166)
Poughkeepsie,80 Parkside Drive (Bldg Ort),12603,NY,No,Copper,No,Field Inspection,2022,"Upto 1""",Copper,Field Inspection,No,Single Family,No,2022,"larger than 2""",Non-Lead,,POINT (-73.86367 41.70944)
Poughkeepsie,Building S,12603,NY,,Known Other,No,Other,,"1.5"" < SL ≤ 2""",Known Other,Field Inspection,,Multi Family,,,"1.5"" < SL ≤ 2""",Non-Lead,Black iron pipe confimred entering building E.  Scratch & magnet test performed on service line entering building.  See attached verification worksheet tab.,
Poughkeepsie,3 Eastdale Avenue South (Bldg K-2),12603,NY,No,Plastic,No,Field Inspection,2022,"larger than 2""",Plastic,Field Inspection,No,Other including Multiuse,No,2022,"1.5"" < SL ≤ 2""",Non-Lead,Ductile Iron Pipe,POINT (-73.86433 41.7087)
Poughkeepsie,15-19 Eastdale Avenue South (Bldg L5/L6),12603,NY,No,Plastic,No,Field Inspection,2022,"1.5"" < SL ≤ 2""",Plastic,Field Inspection,No,Other including Multiuse,No,2022,"1.5"" < SL ≤ 2""",Non-Lead,,POINT (-73.86549 41.7093)
Poughkeepsie,16 Parkside Drive (Bldg M),12603,NY,No,Copper,No,Field Inspection,2021,"Upto 1""",Plastic,Field Inspection,No,Other including Multiuse,No,2021,"larger than 2""",Non-Lead,,POINT (-73.86361 41.70796)
Poughkeepsie,70-76 Parkside Drive (Bldg 12),12603,NY,No,Known Other,No,Field Inspection,2022,"larger than 2""",Known Other,Field Inspection,No,Multi Family,No,2022,"larger than 2""",Non-Lead,Ductile Iron Pipe,POINT (-73.86448 41.70983)
Poughkeepsie,18-22 Eastdale Avenue South (Bldg I-4/I-5),12603,NY,No,Known Other,No,Field Inspection,2024,"larger than 2""",Plastic,Field Inspection,No,Other including Multiuse,No,2024,"1.5"" < SL ≤ 2""",Non-Lead,Ductile Iron Pipe,POINT (-73.86521 41.70916)
Poughkeepsie,Buidling F,12603,NY,,Copper,No,Other,,"1"" < SL ≤ 1.5""",Copper,Field Inspection,,Multi Family,,,"1"" < SL ≤ 1.5""",Non-Lead,Scratch & magnet test performed on service line entering building.  See attached verification worksheet tab.,
Poughkeepsie,39 Eastdale Avenue North (Bldg A5),12603,NY,No,Plastic,No,Field Inspection,2021,"1.5"" < SL ≤ 2""",Plastic,Field Inspection,No,Other including Multiuse,No,2021,"1.5"" < SL ≤ 2""",Non-Lead,,POINT (-73.86653 41.70988)
Poughkeepsie,938-940 Dutchess Turnpike (Bldg I-7/I-8),12603,NY,No,Plastic,No,Field Inspection,2024,"1.5"" < SL ≤ 2""",Plastic,Field Inspection,No,Other including Multiuse,No,2024,"1.5"" < SL ≤ 2""",Non-Lead,,POINT (-73.86569 41.70968)
Poughkeepsie,40-46 Parkside Drive (Bldg 15),12603,NY,No,Known Other,No,Field Inspection,2022,"larger than 2""",Known Other,Field Inspection,No,Multi Family,No,2022,"larger than 2""",Non-Lead,Ductile Iron Pipe,POINT (-73.8634 41.70909)
Poughkeepsie,44 Eastdale Avenue North (Bldg D2),12603,NY,No,Plastic,No,Field Inspection,2020,"1.5"" < SL ≤ 2""",Plastic,Field Inspection,No,Business,No,2020,"1.5"" < SL ≤ 2""",Non-Lead,,POINT (-73.86689 41.71008)
Poughkeepsie,40 Town Center Drive (Bldg 8),12603,NY,No,Known Other,No,Field Inspection,2019,"larger than 2""",Known Other,Field Inspection,No,Multi Family,No,2019,"larger than 2""",Non-Lead,Ductile Iron Pipe,
Poughkeepsie,43 Eastdale Avenue North (Bldg A6),12603,NY,No,Plastic,No,Field Inspection,2021,"1.5"" < SL ≤ 2""",Plastic,Field Inspection,No,Other including Multiuse,No,2021,"1.5"" < SL ≤ 2""",Non-Lead,,POINT (-73.86661 41.70992)
Poughkeepsie,15 Otto Way (Bldg 1),12603,NY,No,Known Other,No,Field Inspection,2019,"larger than 2""",Known Other,Field Inspection,No,Multi Family,No,2019,"larger than 2""",Non-Lead,Ductile Iron Pipe,POINT (-73.86684 41.71123)
Poughkeepsie,Building R,12603,NY,,Plastic,No,Other,,"1"" < SL ≤ 1.5""",Plastic,Field Inspection,,Multi Family,,,"1"" < SL ≤ 1.5""",Non-Lead,Scratch & magnet test performed on service line entering building.  See attached verification worksheet tab.,
Poughkeepsie,20-26 Hillside Drive (Bldg 4),12603,NY,No,Known Other,No,Field Inspection,2020,"larger than 2""",Known Other,Field Inspection,No,Multi Family,No,2020,"larger than 2""",Non-Lead,Ductile Iron Pipe,POINT (-73.86581 41.71243)
Poughkeepsie,Building M,12603,NY,,Galvanized,No,Other,,"larger than 2""",Galvanized,Field Inspection,,Multi Family,,,"larger than 2""",Non-Lead,Scratch & magnet test performed on service line entering building.  See attached verification worksheet tab.,
Poughkeepsie,Building G,12603,NY,,Galvanized,No,Other,,"1.5"" < SL ≤ 2""",Galvanized,Field Inspection,,Multi Family,,,"1.5"" < SL ≤ 2""",Non-Lead,Scratch & magnet test performed on service line entering building.  See attached verification worksheet tab.,
Poughkeepsie,926 Dutchess Turnpike (Bldg P),12603,NY,No,Known Other,No,Field Inspection,2023,"larger than 2""",Plastic,Field Inspection,No,Other including Multiuse,No,2023,"1.5"" < SL ≤ 2""",Non-Lead,Ductile Iron Pipe,POINT (-73.8664 41.70897)
Poughkeepsie,30-32 Eastdale Avenue North (Bldg E1),12603,NY,No,Known Other,No,Field Inspection,2023,"larger than 2""",Plastic,Field Inspection,No,Other including Multiuse,No,2023,"1.5"" < SL ≤ 2""",Non-Lead,Ductile Iron Pipe,POINT (-73.86608 41.70962)
Poughkeepsie,Building A,12603,NY,,Copper,No,Other,,"1"" < SL ≤ 1.5""",Copper,Field Inspection,,Multi Family,,,"1"" < SL ≤ 1.5""",Non-Lead,Scratch & magnet test performed on service line entering building.  See attached verification worksheet tab.,
Poughkeepsie,2 Eastdale Avenue South (Bldg 18),12603,NY,No,Known Other,No,Field Inspection,2021,"larger than 2""",Known Other,Field Inspection,No,Multi Family,No,2021,"larger than 2""",Non-Lead,Ductile Iron Pipe,POINT (-73.86521 41.70916)
Poughkeepsie,946 Dutchess Turnpike (Bldg H),12603,NY,No,Known Other,No,Field Inspection,2024,"larger than 2""",Plastic,Field Inspection,No,Other including Multiuse,No,2024,"1.5"" < SL ≤ 2""",Non-Lead,Ductile Iron Pipe,POINT (-73.86551 41.70986)
Poughkeepsie,46 Eastdale Avenue North (Bldg D3),12603,NY,No,Plastic,No,Field Inspection,2020,"1.5"" < SL ≤ 2""",Plastic,Field Inspection,No,Business,No,2020,"1.5"" < SL ≤ 2""",Non-Lead,,POINT (-73.86695 41.71048)
Poughkeepsie,31-35 Eastdale Avenue North (Bldg A3/A4),12603,NY,No,Known Other,No,Field Inspection,2021,"larger than 2""",Plastic,Field Inspection,No,Other including Multiuse,No,2021,"1.5"" < SL ≤ 2""",Non-Lead,Ductile Iron Pipe,POINT (-73.86637 41.70979)
Poughkeepsie,Building T,12603,NY,,Known Other,No,Other,,"1.5"" < SL ≤ 2""",Known Other,Field Inspection,,Multi Family,,,"1.5"" < SL ≤ 2""",Non-Lead,Black iron pipe confimred entering building E.  Scratch & magnet test performed on service line entering building.  See attached verification worksheet tab.,
Poughkeepsie,20 Otto Way (Bldg CC),12603,NY,No,Known Other,No,Field Inspection,2020,"larger than 2""",Plastic,Field Inspection,No,Other including Multiuse,No,2020,"1.5"" < SL ≤ 2""",Non-Lead,Ductile Iron Pipe,POINT (-73.86605 41.712)
Poughkeepsie,315 Founders Way (Bldg O2),12603,NY,No,Known Other,No,Field Inspection,2022,"larger than 2""",Plastic,Field Inspection,No,Business,No,2022,"larger than 2""",Non-Lead,Ductile Iron Pipe,POINT (-73.86598 41.71072)
Poughkeepsie,30 Town Center Drive (Bldg 9),12603,NY,No,Known Other,No,Field Inspection,2019,"larger than 2""",Known Other,Field Inspection,No,Multi Family,No,2019,"larger than 2""",Non-Lead,Ductile Iron Pipe,
Poughkeepsie,45 Eastdale Avenue North (Bldg B),12603,NY,No,Known Other,No,Field Inspection,2021,"larger than 2""",Plastic,Field Inspection,No,Business,No,2021,"1.5"" < SL ≤ 2""",Non-Lead,Ductile Iron Pipe,POINT (-73.86698 41.71012)
Poughkeepsie,942 Dutchess Turnpike (Bldg I-9),12603,NY,No,Plastic,No,Field Inspection,2024,"1.5"" < SL ≤ 2""",Plastic,Field Inspection,No,Other including Multiuse,No,2024,"1.5"" < SL ≤ 2""",Non-Lead,,POINT (-73.86576 41.70961)
Poughkeepsie,Building Q,12603,NY,,Copper,No,Other,,"1"" < SL ≤ 1.5""",Copper,Field Inspection,,Multi Family,,,"1"" < SL ≤ 1.5""",Non-Lead,Scratch & magnet test performed on service line entering building.  See attached verification worksheet tab.,
Poughkeepsie,50-66 Parkside Drive (Bldg 14),12603,NY,No,Known Other,No,Field Inspection,2022,"larger than 2""",Known Other,Field Inspection,No,Multi Family,No,2022,"larger than 2""",Non-Lead,Ductile Iron Pipe,POINT (-73.86358 41.70938)
Poughkeepsie,Building C & B,12603,NY,,Galvanized,No,Other,,"1.5"" < SL ≤ 2""",Galvanized,Field Inspection,,Multi Family,,,"1.5"" < SL ≤ 2""",Non-Lead,Scratch & magnet test performed on service line entering building.  See attached verification worksheet tab.,
Poughkeepsie,Pool house,12603,NY,,Plastic,No,Other,,"1"" < SL ≤ 1.5""",Plastic,Field Inspection,,Other including Multiuse,,,"1"" < SL ≤ 1.5""",Non-Lead,Scratch & magnet test performed on service line entering building.  See attached verification worksheet tab.,
Poughkeepsie,5 Eastdale Avenue South (Bldg K-1),12603,NY,No,Known Other,No,Field Inspection,2022,"1.5"" < SL ≤ 2""",Plastic,Field Inspection,No,Other including Multiuse,No,2022,"1.5"" < SL ≤ 2""",Non-Lead,,POINT (-73.86494 41.70901)
Poughkeepsie,1 Eastdale Avenue South (Bldg 17),12603,NY,No,Known Other,No,Field Inspection,2021,"larger than 2""",Known Other,Field Inspection,No,Multi Family,No,2021,"larger than 2""",Non-Lead,Ductile Iron Pipe,POINT (-73.86418 41.70863)
Poughkeepsie,55 Otto Way (Blkdg 3),12603,NY,No,Known Other,No,Field Inspection,2020,"larger than 2""",Known Other,Field Inspection,No,Multi Family,No,2020,"larger than 2""",Non-Lead,Ductile Iron Pipe,POINT (-73.86599 41.71206)
Poughkeepsie,335 Founders Way (Bldg G),12603,NY,No,Known Other,No,Field Inspection,2024,"larger than 2""",Plastic,Field Inspection,No,Business,No,2024,"1.5"" < SL ≤ 2""",Non-Lead,Ductile Iron Pipe,POINT (-73.86598 41.71072)
Poughkeepsie,27 Eastdale Avenue North (Bldg A2),12603,NY,No,Known Other,No,Field Inspection,2021,"larger than 2""",Plastic,Field Inspection,No,Other including Multiuse,No,2021,"1.5"" < SL ≤ 2""",Non-Lead,Ductile Iron Pipe,POINT (-73.86625 41.70972)
Poughkeepsie,928-932 Dutchess Turnpike (Bldg L1-L3),12603,NY,No,Known Other,No,Field Inspection,2023,"larger than 2""",Plastic,Field Inspection,No,Other including Multiuse,No,2023,"1.5"" < SL ≤ 2""",Non-Lead,Ductile Iron Pipe,POINT (-73.86633 41.70904)
Poughkeepsie,Building H,12603,NY,,Galvanized,No,Other,,"1.5"" < SL ≤ 2""",Galvanized,Field Inspection,,Multi Family,,,"1.5"" < SL ≤ 2""",Non-Lead,Scratch & magnet test performed on service line entering building.  See attached verification worksheet tab.,
Poughkeepsie,Building L,12603,NY,,Plastic,No,Other,,"1.5"" < SL ≤ 2""",Plastic,Field Inspection,,Multi Family,,,"1.5"" < SL ≤ 2""",Non-Lead,Scratch & magnet test performed on service line entering building.  See attached verification worksheet tab.,
Poughkeepsie,34 Eastdale Avenue North (Bldg E2),12603,NY,No,Plastic,No,Field Inspection,2022,"1.5"" < SL ≤ 2""",Plastic,Field Inspection,No,Other including Multiuse,No,2022,"1.5"" < SL ≤ 2""",Non-Lead,,POINT (-73.86621 41.70969)
